Población ocupada
,

Consulta de: Población ocupada   Por: Periodo encuesta y Sexo   Según: Nivel de ingresos y Nivel de instrucción
 , , Total, Total, Total, Total, Total, Total, Hasta un salario mínimo, Hasta un salario mínimo, Hasta un salario mínimo, Hasta un salario mínimo, Hasta un salario mínimo, Hasta un salario mínimo, Más de 1 hasta 2 salarios mínimos, Más de 1 hasta 2 salarios mínimos, Más de 1 hasta 2 salarios mínimos, Más de 1 hasta 2 salarios mínimos, Más de 1 hasta 2 salarios mínimos, Más de 1 hasta 2 salarios mínimos, Más de 2 hasta 3 salarios mínimos, Más de 2 hasta 3 salarios mínimos, Más de 2 hasta 3 salarios mínimos, Más de 2 hasta 3 salarios mínimos, Más de 2 hasta 3 salarios mínimos, Más de 2 hasta 3 salarios mínimos, Más de 3 hasta 5 salarios mínimos, Más de 3 hasta 5 salarios mínimos, Más de 3 hasta 5 salarios mínimos, Más de 3 hasta 5 salarios mínimos, Más de 3 hasta 5 salarios mínimos, Más de 3 hasta 5 salarios mínimos, Más de 5 salarios mínimos, Más de 5 salarios mínimos, Más de 5 salarios mínimos, Más de 5 salarios mínimos, Más de 5 salarios mínimos, Más de 5 salarios mínimos, No recibe ingresos, No recibe ingresos, No recibe ingresos, No recibe ingresos, No recibe ingresos, No recibe ingresos, No especificado, No especificado, No especificado, No especificado, No especificado, No especificado
 , , Total, Primaria incompleta, Primaria completa, Secundaria completa, Medio superior y superior, No especificado, Total, Primaria incompleta, Primaria completa, Secundaria completa, Medio superior y superior, No especificado, Total, Primaria incompleta, Primaria completa, Secundaria completa, Medio superior y superior, No especificado, Total, Primaria incompleta, Primaria completa, Secundaria completa, Medio superior y superior, No especificado, Total, Primaria incompleta, Primaria completa, Secundaria completa, Medio superior y superior, No especificado, Total, Primaria incompleta, Primaria completa, Secundaria completa, Medio superior y superior, No especificado, Total, Primaria incompleta, Primaria completa, Secundaria completa, Medio superior y superior, No especificado, Total, Primaria incompleta, Primaria completa, Secundaria completa, Medio superior y superior, No especificado
 Cuarto trimestre del 2025, Total, 59785854|0.499206358787912|298454.784823657|, 4520832|1.77289478853124|80149.5949262526|, 8284638|1.22499803385449|101486.652611962|, 19003368|0.829695684053535|157670.124120811|, 27840798|0.710465966374413|197799.394557048|, 136218|8.18843593836479|11154.1236665218|, 23227318|0.852398606526908|197989.334965574|, 2537385|2.15519948922217|54685.7085595999|, 4217197|1.66806870750883|70345.7434910013|, 8508812|1.2190829100723|103729.472942181|, 7918603|1.25257728025421|99186.6220915286|, 45321|12.6774848301404|5745.56289986792|, 20060921|0.882294743363048|176996.451453214|, 927777|3.57210975114575|33141.2126858875|, 2363687|2.10056164790539|49650.7025985255|, 6501995|1.35396509189086|88034.7425764893|, 10226327|1.18791281914242|121479.849360423|, 41135|15.1204054888429|6219.77879783555|, 4117197|1.82769168889887|75249.6673845935|, 97020|10.4981884095564|10185.3423949516|, 250307|5.47929547741974|13715.060130665|, 895497|3.3902118430762|30359.2453483921|, 2868680|2.1085161677309|60486.5816004627|, 5693|40.1840813195142|2287.67974951994|, 1530324|2.78379907400541|42601.1453412826|, 23667|15.3934340101149|3643.1640271739|, 60323|9.97597644570029|6017.80827133979|, 226854|5.68931966681998|12906.4492369678|, 1217770|3.19174564930998|38868.1209936021|, 1710|42.4616524366833|726.094256667285|, 514637|4.63049679635543|23830.2497978597|, 6613|27.8136690748145|1839.31793591748|, 22762|15.2685694230294|3475.43177206996|, 61332|10.1928749166706|6251.49404389243|, 423063|5.32795168911223|22540.5922545089|, 867|86.3180598038042|748.377578498982|, 2751665|2.58193319466568|71046.1520409973|, 594136|5.03942774678137|29941.054437617|, 605582|4.24750600070819|25722.1317892087|, 856968|3.44376877113999|29511.996362663|, 692559|3.92451202709506|27179.5612497293|, 2420|39.7938389820275|963.010903365066|, 7583792|1.63995340511174|124370.655140592|, 334234|5.04576289704557|16864.6551613113|, 764780|4.20700348508958|32174.3212532681|, 1951910|2.51690239069851|49127.6694542834|, 4493796|1.95985104053866|88071.7076656846|, 39072|15.0900145481301|5895.97048424537|
 Cuarto trimestre del 2025, Hombre, 35293400|0.539399481809472|190372.416712944|, 3018567|1.9764300970289|59659.8666869823|, 5345648|1.4328558201115|76595.4284906741|, 11362886|0.955848951112708|108612.026647133|, 15481003|0.838096725673299|129745.779244385|, 85296|9.69863566196716|8272.54827423151|, 11764027|1.09896545782892|129282.593179668|, 1479654|2.58847887458474|38300.5312069482|, 2311992|2.178711801811|50371.6425609262|, 4185675|1.68179099978216|70394.3054301318|, 3761805|1.66948277019571|62802.6863233606|, 24901|14.4597158545204|3600.61384493413|, 13067048|0.98327513073164|128485.033304766|, 775583|3.85332402716505|29885.7260896075|, 1828011|2.36526882155255|43237.3742375509|, 4540805|1.54131129933581|69987.9405458055|, 5892782|1.39075303557804|81954.0445449964|, 29867|18.4403053305631|5507.56599307928|, 2791806|2.01124938349947|56150.1809635012|, 79660|10.8927094331888|8677.13233447817|, 213225|5.8778226590899|12532.9873648444|, 724303|3.64821463254415|26424.1280299563|, 1771758|2.40406682559148|42594.2463077631|, 2860|35.4470964989087|1013.78695986879|, 1066902|3.10229801905729|33098.4796112826|, 19497|17.0375533684748|3321.81178025154|, 50245|10.6393249526926|5345.72882248038|, 178405|6.21364946383413|11085.4613259533|, 817600|3.69307093896911|30194.5479970115|, 1155|40.5346356352592|468.175041587244|, 379935|4.87949149178645|18538.8959993189|, 5912|30.505015795377|1803.45653382269|, 19599|16.1360009040679|3162.49481718827|, 47034|11.6987352234738|5502.38312500868|, 306523|5.65682363803917|17339.4655200268|, 867|86.3180598038042|748.377578498982|, 1513476|3.27110274603064|49507.3549965148|, 415640|5.44408971575819|22627.8144945773|, 359597|5.36586341216026|19295.4838542259|, 424843|4.47050269998574|18992.6177857004|, 312157|5.86141677201598|18296.8227530219|, 1239|54.5551740661526|675.93860667963|, 4710206|1.77939734356633|83813.280440502|, 242621|5.78035205833894|14024.3479674625|, 562979|5.00559300994444|28180.4374714551|, 1261821|2.75917244662189|34815.8173576888|, 2618378|2.21093538939581|57890.6458301542|, 24407|19.916143491669|4860.93314201166|
 Cuarto trimestre del 2025, Mujer, 24492454|0.68534106842949|167856.845928201|, 1502265|2.58046580123991|38765.4345689968|, 2938990|1.74367577484759|51246.4566551932|, 7640482|1.1298137617718|86323.2171016972|, 12359795|0.909082051041851|112360.677890568|, 50922|12.4637961006379|6346.81425036682|, 11463291|1.01698878892776|116580.384312164|, 1057731|3.02243307971764|31969.2116384282|, 1905205|2.21712359178625|42240.7495268913|, 4323137|1.50102249647492|64891.258923431|, 4156798|1.56656401425696|65118.901613353|, 20420|21.285848578361|4346.57027970131|, 6993873|1.21881992890121|85242.717926041|, 152194|7.47768949320004|11380.5947472809|, 535676|4.02685185598534|21570.878948068|, 1961190|2.05129406548789|40229.774082942|, 4333545|1.54079025976248|66770.8392624239|, 11268|24.3982176654469|2749.19116654256|, 1325391|2.8638387746912|37957.0613742674|, 17360|26.8064374026037|4653.59753309201|, 37082|14.8098727879492|5491.79702722732|, 171194|7.05663689802169|12080.5389711992|, 1096922|3.1375091082185|34416.0276600526|, 2833|54.1533155008841|1534.16342814005|, 463422|4.59281148110066|21284.0988219463|, 4170|36.0228406629472|1502.1524556449|, 10078|27.5145148841221|2772.91281002182|, 48449|11.9485422480978|5788.94923378092|, 400170|5.01222483015069|20057.420102814|, 555|100|555|, 134702|8.58077791808788|11558.4794712227|, 701|51.5598632517176|361.43464139454|, 3163|45.5753657871075|1441.54881984621|, 14298|20.107116461766|2874.9155117033|, 116540|9.29527028248615|10832.7079872094|, , 1238189|3.22595234728605|39943.3871093377|, 178496|7.85475051262837|14020.4154750211|, 245985|6.036166387388|14848.0638880164|, 432125|4.74660280141312|20511.2573556064|, 380402|4.90090569905009|18643.1432973005|, 1181|58.080257304846|685.927838770231|, 2873586|2.10065812632029|60364.217825802|, 91613|8.86140129389456|8118.19556737562|, 201801|6.51644856812318|13150.2583749583|, 690089|3.83030418068351|26432.507817437|, 1875418|2.46545125048529|46237.5165328262|, 14665|20.3791060610435|2988.59590385203|
 Tercer trimestre del 2025, Total, 59533449|0.504954246722061|300616.678945612|, 4667398|1.72062181478926|80308.2681710375|, 8398497|1.35766244845097|114023.240003281|, 19000788|0.847721143999576|161073.697402534|, 27358563|0.711949239118793|194779.081112336|, 108203|7.87629052669053|8522.38263859496|, 23328508|0.875104115127803|204148.733505919|, 2629823|2.14796651370624|56487.7174097448|, 4376304|1.85262360384101|81076.4408798384|, 8495137|1.28643161989302|109284.128521231|, 7790106|1.32054495570271|102871.851826894|, 37138|15.5223093875267|5764.67526033965|, 18054025|0.903915302562189|163193.094703403|, 853784|3.60374545804578|30768.2021215216|, 2144998|2.31498005475393|49656.2758748707|, 5917050|1.3713567957156|81143.8672808899|, 9112457|1.15938130620783|105648.122994227|, 25736|13.9099824799008|3579.87309102727|, 3757492|1.80884591661194|67967.2406090203|, 72122|10.322214202783|7444.58732733117|, 247048|5.97441652014055|14759.6765246768|, 819031|3.27691649769893|26838.9619602685|, 2615821|2.13266092846326|55786.5924255368|, 3470|27.695424275063|961.031222344688|, 1354905|2.8531393571157|38657.3278065284|, 17261|19.1807085197867|3310.78209760038|, 61701|11.2983768719406|6971.21151375609|, 191265|5.88045445599625|11247.2512152612|, 1080765|3.32440257544586|35928.9794945175|, 3913|41.438547504012|1621.49036383199|, 465290|4.62180673971976|21504.8045792421|, 6221|27.112537940871|1686.67098530159|, 13910|18.8731885939064|2625.26053341239|, 58994|10.0463924165012|5926.76874219073|, 385667|5.31365533385697|20493.0151164262|, 498|75.9901548691547|378.43097124839|, 3056756|2.52183213184517|77086.2550001052|, 648209|4.86049775474779|31506.1838910731|, 655774|4.0717840656863|26701.7012389137|, 986117|3.39324153721892|33461.3316495771|, 762366|3.63991313440571|27749.4601662435|, 4290|41.1176786000948|1763.94841194407|, 9516473|1.46997701781054|139889.966006146|, 439978|5.0119420174688|22051.4422496189|, 898762|3.2995415227577|29655.0253807675|, 2533194|2.10007007984786|53198.8492585012|, 5611381|1.78692288994943|100271.051531273|, 33158|13.2735877103725|4401.25621300531|
 Tercer trimestre del 2025, Hombre, 35256734|0.557159530673513|196436.253685209|, 3082318|1.93904072738013|59767.4013673686|, 5408332|1.54087656059106|83335.7201069456|, 11399494|0.970519645231464|110634.328726982|, 15291149|0.834631515819322|127624.748684891|, 75441|9.93750474222923|7496.95295258515|, 12001550|1.11550245445687|133877.584822869|, 1526642|2.72272012675285|41566.1889974623|, 2431731|2.41413524769462|58705.2752001169|, 4292542|1.65746422559355|71147.3480185777|, 3728397|1.75186483125139|65316.475812432|, 22238|22.841196481894|5079.42527364359|, 11849396|1.03107904250152|122176.638819013|, 707787|4.0480482594446|28651.5593340751|, 1680493|2.62324592730117|44083.4641810812|, 4127175|1.53606531084911|63396.1034930366|, 5313353|1.40835154155591|74830.6888838074|, 20588|15.8654056099564|3266.36970697782|, 2591480|2.00234142262796|51890.277499119|, 62725|11.4769228308763|7198.89984566718|, 219852|6.29591967862371|13841.7053318478|, 654508|3.54998415280216|23234.9302788224|, 1651366|2.41968883931548|39957.9187982504|, 3029|30.0590692103408|910.489206381223|, 914593|3.16953397415904|28988.3358602804|, 12857|19.3505102886728|2487.89510781467|, 51071|12.9109218229688|6593.73688420842|, 146705|6.50924517752813|9549.38813769264|, 700624|3.75815813023428|26330.5578183726|, 3336|45.4243226575977|1515.35540385746|, 346321|4.85487937046641|16813.466784593|, 4945|30.8822853352476|1527.12900982799|, 12725|20.2896561810694|2581.85874904109|, 42065|10.9573235807106|4609.19816422591|, 286088|5.57567612127593|15951.3403018359|, 498|75.9901548691547|378.43097124839|, 1703967|3.18814028209826|54324.8583206613|, 445030|5.21446104531659|23205.9159899724|, 389425|5.10152920541709|19866.6301081955|, 503216|4.7331789724879|23818.1138981947|, 362754|5.24655852537224|19032.1009131288|, 3542|47.6745840564799|1688.63376728052|, 5849427|1.55586955396348|91009.4537743193|, 322332|5.59286768663005|18027.6022716684|, 623035|3.72987797370904|23238.4452334981|, 1633283|2.38490544460531|38952.255192813|, 3248567|1.95545408402992|63524.2360739483|, 22210|16.429909670376|3649.08293779052|
 Tercer trimestre del 2025, Mujer, 24276715|0.671824635740401|163096.952118485|, 1585080|2.51246084666431|39824.5143883066|, 2990165|1.82575647055405|54593.1309677425|, 7601294|1.14774113172723|87243.1777815138|, 12067414|0.940106346321936|113446.524850942|, 32762|11.6744957043901|3824.79828267228|, 11326958|1.01285010198411|114725.105654698|, 1103181|2.94578174099136|32497.3044680859|, 1944573|2.34926443897128|45683.161978837|, 4202595|1.55024705298991|65150.6051366015|, 4061709|1.65412061944276|67185.5660707622|, 14900|17.8492793946243|2659.54262979903|, 6204629|1.23594629877005|76685.8824779134|, 145997|6.85444498262597|10007.2840412844|, 464505|4.12554862865763|19163.3796575461|, 1789875|2.16346921983196|38723.3946984673|, 3799104|1.58877668958869|60359.2787652316|, 5148|28.5635345190842|1470.45075704245|, 1166012|2.92891410091666|34151.4898863804|, 9397|25.3948600575798|2386.35499961077|, 27196|14.3780685651311|3910.25952697304|, 164523|6.60837383351578|10872.2948821152|, 964455|3.28934542471247|31724.2564159106|, 441|69.7443890295963|307.57275562052|, 440312|4.71592363117421|20764.7776588958|, 4404|49.7098807876189|2189.22314988674|, 10630|21.7622355758643|2313.32564171437|, 44560|13.3587516702786|5952.65974427615|, 380141|5.19508735138011|19748.6570084099|, 577|100|577|, 118969|9.87359966841964|11746.5227895222|, 1276|56.1172307008219|716.055863742488|, 1185|40.1234542033024|475.462932309134|, 16929|21.6792426509249|3670.07898837507|, 99579|11.1802162617669|11133.1475513049|, , 1352789|3.32804974137923|45021.4908159067|, 203179|8.09130413039931|16439.830819104|, 266349|6.3581956050891|16934.9904121988|, 482901|4.59806666864044|22204.1099235314|, 399612|4.62413381782788|18478.5936320983|, 748|66.8756613802567|500.22994712432|, 3667046|1.8774192797161|68845.828600058|, 117646|9.12169994982955|10731.3151229765|, 275727|5.51884975048666|15216.9588515243|, 899911|3.09237498336425|27828.6226365431|, 2362814|2.22438259199993|52558.0232973371|, 10948|20.7625339209176|2273.08221366206|
 Segundo trimestre del 2025, Total, 59440760|0.433959791678672|257948.998268219|, 4630729|1.64265221592064|76066.7725317798|, 8408306|1.30523565547619|109748.207933544|, 18785204|0.787274636512342|147891.146509102|, 27504297|0.706731768078178|194381.604485573|, 112224|10.2569529793232|11510.7629115157|, 23122509|0.775099573382984|179222.468614442|, 2626827|2.05884867545396|54082.3928959671|, 4328339|1.6827275152724|72834.1513072662|, 8433993|1.19347901896892|100657.936916307|, 7691892|1.30033411006752|100020.295385555|, 41458|17.7214973469556|7346.97837010087|, 17480062|0.887955766227348|155215.218469115|, 836634|3.72252692085119|31143.9258789942|, 2143854|2.64014227963137|56600.7958675684|, 5857627|1.41910156099908|83125.6761945038|, 8618740|1.17525033293068|101291.77054443|, 23207|20.5336268552538|4765.23878429874|, 3585044|1.88810290490723|67689.3199062023|, 73565|11.7265916836539|8626.66717208002|, 221554|6.03385063540077|13368.2374367558|, 714089|3.60894831939377|25771.1029644758|, 2573434|2.16810666622867|55794.7941049952|, 2402|59.723818427514|1434.56611862889|, 1387971|3.27733502505658|45488.4597206281|, 20740|27.109975844263|5622.60899010014|, 48299|11.5985423069765|5601.97994884657|, 183034|6.30672315507207|11543.4476596546|, 1135640|3.7460242080558|42541.3493163649|, 258|80.4504026815846|207.562038918488|, 533968|7.13696207926193|38109.0936753933|, 6237|40.6245114159089|2533.75077701024|, 22443|21.5946774232835|4846.49345410751|, 56837|20.2701602101755|11520.9509586574|, 448407|7.37055289433327|33050.075116893|, 44|100|44|, 2784614|2.57030238305509|71573.0000008857|, 612293|4.95647761519064|30348.1654843793|, 637763|4.50265161607706|28716.2460262415|, 849298|3.55612138493732|30202.067799845|, 682395|4.28703463284431|29254.5099827979|, 2865|46.106537800908|1320.95230799602|, 10546592|1.51393265141326|159668.299899339|, 454433|5.17018170460927|23495.0118257071|, 1006054|3.26883958178389|32886.2913661201|, 2690326|1.98445363049317|53388.2719791016|, 6353789|2.0374437527113|129454.877040958|, 41990|12.6813461384718|5324.89724354431|
 Segundo trimestre del 2025, Hombre, 35109909|0.504691772215406|177196.821955316|, 3067531|1.91045851841926|58603.9072946516|, 5490956|1.52662278813826|83826.1855826452|, 11231614|0.947624315139043|106433.505246561|, 15248298|0.831760964530701|126829.390519316|, 71510|12.066696816273|8628.89489331682|, 11907777|1.01615390397207|121001.340861788|, 1537860|2.53876036585065|39042.5801622708|, 2474796|2.18008779857957|53952.7256357352|, 4187437|1.60198580596155|67082.1463735822|, 3684626|1.83036452611417|67442.0872239796|, 23058|25.022658588981|5769.72461744724|, 11429691|1.00096183571632|114406.844850303|, 680297|4.07570621683076|27726.9071219132|, 1659499|2.76626708670499|45906.1746411984|, 4109458|1.57372424660545|64671.5369500676|, 4964313|1.41120674331103|70056.7198150659|, 16124|26.4177514362861|4259.59824158678|, 2434920|2.10044773292405|51144.2219385143|, 64552|12.5989385321538|8132.86680127591|, 191265|6.45069093904665|12337.9140245676|, 572020|3.97085505000581|22714.0850570432|, 1605628|2.49985684283664|40138.4014285012|, 1455|53.3764041198254|776.626679943459|, 940511|3.3348367010515|31364.5060054264|, 20073|27.9695386996008|5614.32550317087|, 42815|12.6954954280423|5435.57636751632|, 153172|6.75647118792388|10349.0220479668|, 724222|3.88441276066535|28131.7717835458|, 229|89.7494122504122|205.526154053444|, 394536|7.57901449532913|29901.9406292917|, 4454|48.3269276785878|2152.4813588043|, 14804|25.8048705235292|3820.15303230326|, 47980|23.5021868247973|11276.3492385378|, 327254|7.13885351643602|23362.1836866775|, 44|100|44|, 1541285|3.39978352840531|52400.3535557818|, 427647|5.62973806768927|24075.4059543311|, 396671|5.92346673669575|23496.6747391184|, 430087|5.12417164783185|22038.3961150106|, 284890|5.61974178615085|16010.0823745652|, 1990|59.0851784004112|1175.79505016818|, 6461189|1.5300352037724|98858.4662822696|, 332648|5.78508217499966|19243.9601534929|, 711106|3.77526340569597|26846.1245937084|, 1731460|2.24314916614677|38839.2305521649|, 3657365|2.01802480043695|73806.5327425008|, 28610|15.7854239110997|4516.20978096563|
 Segundo trimestre del 2025, Mujer, 24330851|0.641186743052924|156006.19108396|, 1563198|2.40861798959728|37651.4682410248|, 2917350|1.78926500947499|52199.1227539187|, 7553590|1.12937939329844|85308.6889142514|, 12255999|0.970989211677107|119004.428073254|, 40714|13.8040965994096|5620.19988948363|, 11214732|0.960621263651401|107731.100253518|, 1088967|2.83106484354802|30829.3618948396|, 1853543|2.23736152278891|41470.4578903472|, 4246556|1.53423649681622|65152.2120097388|, 4007266|1.58607507416691|63558.2471815652|, 18400|24.703827709787|4545.50429860081|, 6050371|1.29762196232924|78510.9428983995|, 156337|7.50150821738514|11727.6329018134|, 484355|4.63783812046959|22463.6008284005|, 1748169|2.45757197724028|42962.5114588016|, 3654427|1.63948272371827|59913.699315896|, 7083|29.8342586140459|2113.16053763287|, 1150124|3.01980965415518|34731.5555867558|, 9013|32.4277278638742|2922.71111237098|, 30289|15.4519340348224|4680.23629980737|, 142069|7.70569150694248|10947.3988669981|, 967806|3.29535525860675|31892.6459141116|, 947|75.6803696185537|716.693100287703|, 447460|5.56702374079934|24910.2044305807|, 667|45.7408979710212|305.091789466711|, 5484|24.4820855470297|1342.59757139911|, 29862|15.4071788238411|4600.89174037542|, 411418|5.94518635452063|24459.5667960417|, 29|100|29|, 139432|12.1805153795215|16983.5362039744|, 1783|74.9681064632835|1336.68133824034|, 7639|33.0348885165767|2523.53513378129|, 8857|25.9367213744909|2297.21541213866|, 121153|13.7283976505591|16632.3656055819|, , 1243329|3.39924018504366|42263.7390003015|, 184646|8.06830128018331|14897.7955818073|, 241092|6.79828073498078|16390.1109895799|, 419211|4.51519842581078|18928.2084728256|, 397505|5.63861623292016|22413.7814566693|, 875|68.8016136497998|602.014119435749|, 4085403|2.14234432084338|87523.399154065|, 121785|8.26808005975171|10069.2813007686|, 294948|5.34742261618486|15772.1160579849|, 958866|3.04339380730082|29182.0684643131|, 2696424|2.87793410622953|77601.3059445585|, 13380|18.5318270337502|2479.55845711578|
